ensembl,gda_score,label_0,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9,label_10,label_11,label_12,label_13,label_14,label_15,label_16,label_17,label_18,label_19,label_20,label_21,label_22,label_23,label_24,label_25,label_26,label_27,label_28,label_29,label_30,label_31,label_32,label_33,label_34,label_35,label_36,label_37,label_38,label_39,label_40,label_41,label_42,label_43,label_44,label_45,label_46,label_47,label_48,label_49,label_50,label_51,label_52,label_53,label_54,label_55,label_56,label_57,label_58,label_59,label_60,label_61,label_62,label_63,label_64,label_65,label_66,label_67,label_68,label_69,label_70,label_71,label_72,label_73,label_74,label_75,label_76,label_77,label_78,label_79,label_80,label_81,label_82,label_83,label_84,label_85,label_86,label_87,label_88,label_89,label_90,label_91,label_92,label_93,label_94,label_95,label_96,label_97,label_98,label_99
ENSG00000078061,,,,,,,0,0,,0,,,0,0,,,,0,,,,0,0,,0,,,0,,0,,,,0,,,0,,,,,,0,,0,0,0,0,0,,0,0,,,0,,0,,,,,,0,0,,0,,,,0,0,0,,0,,,,0,,0,0,0,0,,,,0,0,,,,0,,,,0,,,,,
ENSG00000145819,,,,,,,,0,,0,,,,,,,,0,,,,0,0,,,0,,,,,,,0,,0,0,,,0,0,,,,0,0,,0,,,,,,0,0,,0,0,,,,0,0,,,0,,,0,,0,,0,,0,,,0,0,,,,,0,0,,0,0,,,,,,,0,,,0,,,0,
ENSG00000100852,,,0,,,,,,0,,0,,,0,,,,,,0,,0,,,,0,0,0,,0,,,,,,0,,,0,0,,,,0,,0,,,,,,,,,,0,0,0,0,,,,,,,,,,,,0,0,0,,,0,0,,,,,,,,0,0,0,,,0,,,,,,0,0,,,0,
ENSG00000104728,,,,,0,,0,0,,0,,,0,,,,,,,,,,,,0,,,,0,0,0,0,,,,,,,,,0,,,0,0,,,,0,,,0,0,,,,0,,,,,,,0,,,,,,0,,,0,0,,,,,0,,,,,0,,0,,,0,,,,,,,,,,0,,0
ENSG00000074964,,,0,,0,,,,0,0,0,0,,,,,0,,0,0,0,0,0,0,0,0,,,,,0,,0,,,0,0,,0,,,0,,,0,0,0,,,0,0,0,0,,0,0,0,,,,,0,,,,,,,0,,0,,0,,0,0,,,,0,0,0,0,,,0,,,0,,,0,0,0,0,,,0,,0,0
ENSG00000196914,,,,,,,,,,0,,,,,,,0,0,,,,0,0,,0,0,,,,,,,,0,,,,,,,,,,0,,,0,,,0,,,,0,,,,0,,,,,,,0,,,,,0,0,,,,,0,0,,,,0,0,,,0,0,0,,,,0,0,,0,,,,0,0,,
ENSG00000117713,,0,,,,0,,0,,,,0,0,0,,,,0,,0,,0,,,0,,,0,,0,,,0,,0,,,,,,,,,,0,0,,0,0,,0,,,0,0,0,0,0,,,0,,,,,0,,,0,,,,,0,0,,,0,,0,,,,,,0,,,0,0,0,,0,,,0,0,,,0,
ENSG00000049618,,,0,0,,0,0,,0,,,0,,,0,0,0,0,,0,0,,,0,,,,,0,,,,,,,,0,,,0,,0,,,,0,,,,,0,,,,,,,0,,,,,,,,,,0,,,,,,,,0,,,,0,,,,,0,,,0,,,,,0,,,,0,,0,0,0
ENSG00000189079,,0,0,,,0,,0,,,,,,,0,,0,,,,,0,0,,,0,0,,,0,0,0,,,0,,,,,,,,,,,,0,0,,,,,,0,,,,,0,,0,0,,,0,0,0,0,0,,,,0,,0,0,,0,,0,,,,0,,,0,,,0,,0,0,,0,,0,,,,0
ENSG00000143437,,0,,,0,,,,0,,0,0,,,,0,,0,0,0,,,0,0,,,0,,,0,,0,0,,,0,0,0,,,,0,,0,,0,0,0,0,,,0,0,0,0,0,0,,,,0,0,0,,,,,,,0,,0,0,,,,0,,0,0,0,,,,0,,,0,,,,,,0,,,,,0,,0
ENSG00000169696,,0,,0,,,0,,0,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,0,,0,,,,,,,0,,0,,,,,0,,,,0,,0,,0,,,,,0,0,0,,0,0,,,0,,,,,,,,,,,,,,,,0,,0,0,,,,,0,,0,,0
ENSG00000171456,,,0,,,,0,0,,,0,0,,0,0,,,,,,,,0,0,0,,,,,,0,,,,,,,0,,,,,0,,,,,,,,0,,,,,0,,,,,0,0,0,,,0,,0,,0,0,,,0,,0,0,,,0,0,0,,,0,0,0,,,,0,,,,,,,0,,,
ENSG00000143970,,,,0,0,,0,0,0,,0,,,0,0,,,0,0,0,,,,,,,,,0,0,,,,0,,,,,,,,,0,,,0,,,0,,,0,,,,,0,,0,0,0,,,,,0,,0,0,,,,0,0,,,,,0,,,,0,,,,0,0,,0,,,,0,,0,,0,,,
ENSG00000123268,,,,0,0,,,,0,0,0,,,,,,0,0,0,0,,,0,,,,,,,,,,,,0,,,,,0,,,,,,,,,0,,,0,,0,,,,0,0,,,,0,,,,,0,0,0,,0,,,0,0,,,,0,0,,0,,,,,,,,,,,0,0,0,,,,0,0
ENSG00000138363,,,0,,,0,,0,0,,,,,,0,,0,0,,,0,0,,,0,0,0,0,,0,,,0,,,,0,,,,,0,,,0,,,0,,0,,0,,,0,0,,,,,,,0,0,,0,0,,0,0,,0,,0,,,,,,,0,0,,,,,,,0,,,,0,,,,,,,,
ENSG00000149311,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000163399,,,0,,,0,0,,,,0,,0,,0,,0,,,,0,,,,,,0,0,0,,,,,,,,,0,,,0,0,,,0,,,,,,,,,,,,,0,,,0,,,,,,,,,,0,,,,0,,,0,,,0,,,,,0,,0,0,,,0,0,0,,0,,,,0,
ENSG00000175054,,,0,,,,0,,,,0,,,,0,,,0,,,,,,0,,0,0,,,,,0,,,,,,0,0,,0,0,,,,,,,,,0,0,,,0,0,0,,,,0,,,,,,,0,0,,,,,,,,,,,,,,,0,0,,,,,,,,,,0,,,0,,,
ENSG00000085224,,,0,0,,,,,,,0,,0,,0,,,0,,,,,,0,,0,,,,,,0,,0,,,,,,,,,,,,0,0,,0,0,0,0,,0,0,,,,,,,0,,0,0,,0,,0,,,,0,,,0,0,,,0,,,0,0,,,,,,,,,,0,0,,,0,,0,
ENSG00000103126,,,0,,,,0,,,0,,,0,,,,0,0,0,,0,,,,0,,,0,,0,0,,,,,,,,,,,,,,,0,,,0,,,0,0,,0,0,,,0,0,,0,,,0,,,,,,0,0,,,,,,,,,0,,0,0,,,,,0,,,,,,,,0,,,,
ENSG00000168646,,,,,,,0,,,0,,0,,0,,,0,0,,,0,0,,,,0,0,,,,,0,,,,,,,,,,0,,,,0,0,,,0,0,,,,,0,,0,,0,,0,,0,,,,,,,0,,,,,0,,0,,,,0,0,0,,,0,,,,,,,,,,0,0,0,,0
ENSG00000166710,,0,,,,0,0,0,,,0,,,,,0,0,,,,,,0,0,,0,,,0,0,,,,,0,,,,,,,0,,,,,0,0,,,,0,,,0,,,0,,,,0,,,,0,0,,,,0,,,0,,0,,0,,0,,,,,,0,,,,,0,0,,,,,,,,,
ENSG00000163930,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000163930,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000138376,,,0,,0,,,,0,,,,0,,,,,,,,0,,,,0,0,0,,,0,,,,,,,0,,0,,0,0,,,0,,0,,0,,0,,,,,,0,,,0,,,0,,,,,,,0,,,0,,,,,0,,,,0,,,,,0,,,0,0,,,,0,,0,0,,,
ENSG00000087088,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000198604,,,0,,,0,,,,,0,0,0,0,0,,0,,,,,,0,,,,,0,0,,,,,0,,,,0,0,,,,0,0,,,,,0,0,,,,,,,0,0,,,0,,,,,0,0,,,0,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,,,0,,0,,
ENSG00000142867,,,,,,,0,,,0,0,0,0,0,,0,0,,,,0,,0,0,0,,,,,,,,,,,0,,,,0,0,0,,,,,0,,0,,,,0,,,0,0,,,,,,,0,0,0,,,,0,0,,0,0,,,,0,,,0,0,,,,0,,,,,,,0,0,,,,0,,,0
ENSG00000119866,,,0,,,,,,0,,0,0,,,,,,,0,,,0,,,,,,,,0,,,,,,0,,0,,,,,,,,,,,0,,,,,,,0,,0,0,,0,,0,,,0,,,,,,,,,,0,,,,0,0,,,0,,,,,,,,0,,0,,0,,,0,,0
ENSG00000127152,,,,0,,0,0,,,0,,0,,,0,,,0,0,,0,,,0,,0,,,,,0,,,0,0,,,0,,0,,,,,,,,,,,,,0,0,0,0,,0,0,,0,,0,,,,0,0,,,,0,0,,,0,,,,,,,0,0,,,,,,,0,0,,,0,,0,,0,,0
ENSG00000171791,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000171791,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000171791,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000171791,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000171791,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000171791,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000171791,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000171791,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000126453,,,,0,,,,0,,,0,,0,,0,,,0,0,,,0,,,,0,,0,,,,,,,,,,0,0,,,0,,,,,0,0,,,0,0,0,0,,0,0,0,,0,0,,0,,,0,,,0,0,,,,,,0,,,,0,,,,,,,,0,,0,,0,0,0,0,,,,0,0,0
ENSG00000069399,,,,,0,0,0,,,,,,,0,0,,,,0,,0,,,,,0,,,0,0,0,,0,0,0,,,,,,,0,,,,,,0,,,,0,,,,,,,,0,,,,0,0,,0,,,,,0,0,0,,0,0,,,,0,,,,,,0,,,,,,,,,,0,0,,0,
ENSG00000113916,,,,,0,0,,0,0,0,0,,,0,,,0,,,,0,,0,0,,,,,,0,,0,,0,,0,,,,0,0,,0,,0,,,0,,,,,,,0,,0,,0,,,,0,0,,,0,,,0,,,,0,,,0,,,,,0,0,,0,,,0,0,0,,,,,,0,,,0,,
ENSG00000110987,,,0,,0,,,,,,0,,0,,0,0,,0,0,,,0,,,0,,0,0,,0,,,0,0,,,,0,,,,,,,0,,,,0,,,0,,0,,0,0,0,,,,,0,,0,,,,,,0,,0,,,0,,,0,,,,,0,,0,,,,0,,0,,0,,,,0,0,,0
ENSG00000116128,,,,0,,0,,,,0,0,0,,,0,,0,0,0,,,,,0,,,,,,,0,,,,,,,0,,,0,0,,0,,0,0,0,0,,,0,0,,,0,,,0,,,,,,,,,,,,,,,,0,,,,,0,,,,0,0,,,0,,,,,,0,0,,,0,,0,
ENSG00000186174,,0,,0,,0,,,0,,0,,,,,,,,,,0,0,,,,0,0,,0,,,,,,,0,0,,,,,,,0,0,,,0,,,0,,,0,0,0,0,,,,0,0,,0,0,0,,,,,,,,,0,,0,0,,0,,,,,,0,,,0,,,,,,,,,,0,,
ENSG00000029363,,0,,,,0,,0,,0,0,,,,,,,,0,0,0,0,,,,0,0,0,,,,,0,0,,,,,0,,,0,0,,0,,,,,0,0,,0,,,,,,,,,0,,0,,0,,,,0,,0,,,,,0,0,,,,,0,,,0,0,0,0,0,,,,0,,0,0,,,,0
ENSG00000183337,,,0,,0,,,0,,0,0,,,,,,,,,0,0,0,0,,,,,,0,,,,,,0,0,,,,0,,,0,0,,,,,,,,,,0,,,,,0,0,0,,,,0,0,,,0,0,,0,,,0,,,,,,,,,,0,,0,0,,,,,0,0,0,,,,,,0
ENSG00000085185,,,,,0,,,0,,0,,,,,,,,0,,0,,0,0,,,,,0,,,0,0,0,0,,0,0,,,,0,,,,,0,,0,,,0,,,0,,,,,,0,,0,0,,,,,,,,,,,,,,0,,,,,,0,0,,,,,,,0,,0,,,,,,,,
ENSG00000186716,,0,,0,,,0,,0,,,0,,,,0,,,0,,,,,0,0,,,0,,,,0,,,0,,,,0,,0,0,,,,,,,,,,,,,,,,,,,0,,,,,0,,,0,,,,0,0,,0,,,,,,0,0,,0,0,,,0,,,0,,,0,,0,,0,,
ENSG00000023445,,,,,,0,,,0,,,0,0,,0,,,,,,0,,,0,,,,,,0,,,0,0,,0,0,,0,,0,,0,0,0,,0,,,,0,,0,0,,0,0,,,0,,,0,,0,0,0,,0,,,,,0,,0,,,,0,,0,,0,,,0,,,,0,,0,0,,0,,0,,,
ENSG00000115760,,0,0,,,0,,,,,,,0,,0,0,,0,,0,,,,0,,,,0,0,,,0,,0,0,0,,0,,,,,0,,0,,,,,0,,,,0,0,0,,0,,,,,,0,,,0,0,,,,0,,,0,,0,0,0,,0,,0,0,,0,,0,0,0,,,,,,0,0,,,,0
ENSG00000197299,,,,,0,,,,0,,0,0,0,,,0,,,0,,,,0,,,,0,,,,,,0,,,,,,,,,,,,0,,0,0,,0,,,,,0,,0,,0,,,,,,0,0,,,,0,0,,,,,,,,0,,0,0,,,,,0,0,,0,,,,,,0,0,,0,,0
ENSG00000112175,,,,0,,,0,,0,,0,,,0,,,0,,,,0,,,,0,,0,0,,,,,0,,,,,0,,,0,0,,0,,,,,,0,,0,0,,,,,,,0,,0,0,0,,,,0,,,0,,0,,0,0,,,,,0,,,,0,,,,0,,0,,,0,0,0,,,,0,
ENSG00000107779,,,,0,,,,,,0,,0,,0,,0,0,,0,,0,,0,,0,,,,,,,,0,,0,0,,,0,,0,,0,,0,,,0,,,,,,,,,0,0,0,0,,,,,,,0,,,0,,0,0,0,,0,0,,0,,0,,0,0,,0,,,,,,,0,,,0,,0,0,0,
ENSG00000157764,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000157764,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000157764,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000157764,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000157764,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
