"","geneId","geneSymbol","DSI","DPI","diseaseId","diseaseName","diseaseType","diseaseClass","diseaseSemanticType","score","EI","YearInitial","YearFinal","NofPmids","NofSnps","source"
"66",241,"ALOX5AP",0.612,0.731,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.01,1,2019,2019,1,0,"BEFREE"
"67",248,"ALPI",0.563,0.769,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.01,1,2016,2016,1,0,"BEFREE"
"68",249,"ALPL",0.546,0.769,"C0410719","Deformity of bone","group","C05","Anatomical Abnormality",0.01,1,2014,2014,1,0,"BEFREE"
"69",249,"ALPL",0.546,0.769,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.01,1,2015,2015,1,3,"BEFREE"
"70",249,"ALPL",0.546,0.769,"C1855815","Skin dimple over apex of long bone angulation","phenotype","","Finding",0.1,NA,NA,NA,0,0,"HPO"
"71",250,"ALPP",0.487,0.808,"C0153690","Secondary malignant neoplasm of bone","disease","C23;C04;C05","Neoplastic Process",0.05,1,2017,2019,5,0,"BEFREE"
"72",250,"ALPP",0.487,0.808,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.02,1,2016,2017,2,0,"BEFREE"
"73",258,"AMBN",0.716,0.231,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.02,1,2011,2017,2,0,"BEFREE"
"74",259,"AMBP",0.537,0.731,"C2242472","Infection of bone","disease","C23;C01;C05","Disease or Syndrome",0.01,1,2019,2019,1,0,"BEFREE"
"75",273,"AMPH",0.653,0.462,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.01,1,2019,2019,1,0,"BEFREE"
"76",282,"ANCR",0.751,0.154,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.01,1,2019,2019,1,0,"BEFREE"
"77",284,"ANGPT1",0.446,0.808,"C0153690","Secondary malignant neoplasm of bone","disease","C23;C04;C05","Neoplastic Process",0.01,1,2012,2012,1,0,"BEFREE"
"78",285,"ANGPT2",0.41,0.846,"C0153690","Secondary malignant neoplasm of bone","disease","C23;C04;C05","Neoplastic Process",0.01,1,2008,2008,1,0,"BEFREE"
"79",285,"ANGPT2",0.41,0.846,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.01,1,2017,2017,1,0,"BEFREE"
"80",290,"ANPEP",0.462,0.769,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.03,1,1999,2014,3,0,"BEFREE"
"81",301,"ANXA1",0.442,0.885,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.01,1,2010,2010,1,0,"BEFREE"
"82",302,"ANXA2",0.453,0.808,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.03,1,2001,2018,3,0,"BEFREE"
"83",306,"ANXA3",0.61,0.615,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.01,1,2019,2019,1,0,"BEFREE"
"84",308,"ANXA5",0.458,0.769,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.06,1,2017,2019,6,0,"BEFREE"
"85",309,"ANXA6",0.514,0.846,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.01,1,2019,2019,1,0,"BEFREE"
"86",317,"APAF1",0.525,0.769,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.01,1,2014,2014,1,0,"BEFREE"
"87",324,"APC",0.373,0.962,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.03,1,2014,2019,3,0,"BEFREE"
"88",324,"APC",0.373,0.962,"C1836193","Synostosis of carpal bones","phenotype","","Finding",0.1,NA,NA,NA,0,0,"HPO"
"89",324,"APC",0.373,0.962,"C4021785","Abnormality of the metacarpal bones","disease","C05","Anatomical Abnormality",0.1,NA,NA,NA,0,0,"HPO"
"90",326,"AIRE",0.516,0.808,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.01,1,2018,2018,1,0,"BEFREE"
"91",328,"APEX1",0.458,0.846,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.1,1,2004,2019,10,0,"BEFREE"
"92",329,"BIRC2",0.535,0.731,"C0153690","Secondary malignant neoplasm of bone","disease","C23;C04;C05","Neoplastic Process",0.01,1,2014,2014,1,0,"BEFREE"
"93",329,"BIRC2",0.535,0.731,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.02,1,2009,2017,2,0,"BEFREE"
"94",330,"BIRC3",0.491,0.769,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.02,1,2009,2017,2,0,"BEFREE"
"95",331,"XIAP",0.447,0.808,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.04,1,2011,2019,4,0,"BEFREE"
"96",332,"BIRC5",0.495,0.731,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.01,1,2018,2018,1,0,"BEFREE"
"97",347,"APOD",0.584,0.577,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.01,1,2009,2009,1,0,"BEFREE"
"98",348,"APOE",0.338,0.962,"C0153690","Secondary malignant neoplasm of bone","disease","C23;C04;C05","Neoplastic Process",0.01,1,2003,2003,1,0,"BEFREE"
"99",353,"APRT",0.423,0.846,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.03,1,1999,2013,3,0,"BEFREE"
"100",354,"KLK3",0.443,0.885,"C0153690","Secondary malignant neoplasm of bone","disease","C23;C04;C05","Neoplastic Process",0.1,0.935,2002,2020,46,0,"BEFREE"
"101",354,"KLK3",0.443,0.885,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.01,1,2003,2003,1,0,"BEFREE"
"102",355,"FAS",0.372,0.923,"C0027543","Avascular necrosis of bone","phenotype","C23;C05","Disease or Syndrome",0.1,NA,NA,NA,0,0,"HPO"
"103",355,"FAS",0.372,0.923,"C0153690","Secondary malignant neoplasm of bone","disease","C23;C04;C05","Neoplastic Process",0.01,1,2003,2003,1,0,"BEFREE"
"104",355,"FAS",0.372,0.923,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.07,0.857,1995,2018,7,0,"BEFREE"
"105",356,"FASLG",0.43,0.885,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.02,1,2010,2018,2,0,"BEFREE"
"106",358,"AQP1",0.467,0.885,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.01,1,2015,2015,1,0,"BEFREE"
"107",360,"AQP3",0.546,0.769,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.01,1,2018,2018,1,0,"BEFREE"
"108",367,"AR",0.351,0.846,"C0153690","Secondary malignant neoplasm of bone","disease","C23;C04;C05","Neoplastic Process",0.1,1,1996,2018,13,0,"BEFREE"
"109",367,"AR",0.351,0.846,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.03,1,2017,2020,3,0,"BEFREE"
"110",372,"ARCN1",0.705,0.462,"C0545053","Advanced bone age","phenotype","","Finding",0.1,NA,NA,NA,0,0,"HPO"
"111",374,"AREG",0.487,0.769,"C0153690","Secondary malignant neoplasm of bone","disease","C23;C04;C05","Neoplastic Process",0.01,1,2017,2017,1,0,"BEFREE"
"112",374,"AREG",0.487,0.769,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.01,1,2015,2015,1,0,"BEFREE"
"113",384,"ARG2",0.569,0.731,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.01,1,2016,2016,1,0,"BEFREE"
"114",387,"RHOA",0.502,0.808,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.02,1,2014,2019,2,0,"BEFREE"
"115",388,"RHOB",0.653,0.423,"C0153690","Secondary malignant neoplasm of bone","disease","C23;C04;C05","Neoplastic Process",0.01,1,2014,2014,1,0,"BEFREE"
"116",388,"RHOB",0.653,0.423,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.01,1,2019,2019,1,0,"BEFREE"
"117",392,"ARHGAP1",0.638,0.577,"C0153690","Secondary malignant neoplasm of bone","disease","C23;C04;C05","Neoplastic Process",0.01,1,2017,2017,1,0,"BEFREE"
"118",402,"ARL2",0.743,0.269,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.01,1,2017,2017,1,0,"BEFREE"
"119",405,"ARNT",0.575,0.692,"C0153690","Secondary malignant neoplasm of bone","disease","C23;C04;C05","Neoplastic Process",0.01,1,2016,2016,1,0,"BEFREE"
"120",407,"ARR3",0.46,0.846,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.04,1,2003,2019,4,0,"BEFREE"
"121",411,"ARSB",0.595,0.692,"C0027543","Avascular necrosis of bone","phenotype","C23;C05","Disease or Syndrome",0.1,NA,NA,NA,0,0,"HPO"
"122",412,"STS",0.431,0.846,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.02,1,2017,2019,2,0,"BEFREE"
"123",445,"ASS1",0.523,0.731,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.02,1,2010,2016,2,0,"BEFREE"
"124",467,"ATF3",0.494,0.885,"C0153690","Secondary malignant neoplasm of bone","disease","C23;C04;C05","Neoplastic Process",0.01,1,2018,2018,1,0,"BEFREE"
"125",467,"ATF3",0.494,0.885,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.02,1,2017,2019,2,0,"BEFREE"
"126",468,"ATF4",0.507,0.769,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.04,1,2016,2019,4,0,"BEFREE"
"127",470,"ATHS",0.551,0.769,"C0153690","Secondary malignant neoplasm of bone","disease","C23;C04;C05","Neoplastic Process",0.05,1,2017,2019,5,0,"BEFREE"
"128",470,"ATHS",0.551,0.769,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.01,1,2017,2017,1,0,"BEFREE"
"129",471,"ATIC",0.576,0.731,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.02,0.5,2013,2017,2,1,"BEFREE"
"130",472,"ATM",0.374,0.885,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.04,1,2015,2019,4,0,"BEFREE"
"131",472,"ATM",0.374,0.885,"C4021634","Abnormality of bone marrow cell morphology","disease","","Anatomical Abnormality",0.1,NA,NA,NA,0,0,"HPO"
"132",526,"ATP6V1B2",0.606,0.577,"C1848769","Overtubulated long bones","phenotype","","Finding",0.1,NA,NA,NA,0,0,"HPO"
"133",528,"ATP6V1C1",0.821,0.192,"C0153690","Secondary malignant neoplasm of bone","disease","C23;C04;C05","Neoplastic Process",0.01,1,2017,2017,1,0,"BEFREE"
"134",538,"ATP7A",0.494,0.769,"C1844689","Pelvic bone exostoses","disease","C05","Neoplastic Process",0.1,NA,NA,NA,0,0,"HPO"
"135",538,"ATP7A",0.494,0.769,"C1855340","Bowing of the long bones","phenotype","","Congenital Abnormality",0.1,NA,NA,NA,0,0,"HPO"
"136",538,"ATP7A",0.494,0.769,"C4021738","Abnormality of the pubic bone","phenotype","","Anatomical Abnormality",0.1,NA,NA,NA,0,0,"HPO"
"137",545,"ATR",0.456,0.923,"C0541764","Delayed bone age","phenotype","","Finding",0.1,NA,NA,NA,0,0,"HPO"
"138",545,"ATR",0.456,0.923,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.01,1,2015,2015,1,0,"BEFREE"
"139",546,"ATRX",0.452,0.808,"C0541764","Delayed bone age","phenotype","","Finding",0.1,NA,NA,NA,0,0,"HPO"
"140",546,"ATRX",0.452,0.808,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.05,0.8,2011,2018,5,0,"BEFREE"
"141",547,"KIF1A",0.559,0.692,"C2674432","Reduced bone mineral density","phenotype","","Finding",0.1,NA,NA,NA,0,0,"HPO"
"142",547,"KIF1A",0.559,0.692,"C4021735","Abnormality of the hip bone","disease","","Anatomical Abnormality",0.1,NA,NA,NA,0,0,"HPO"
"143",547,"KIF1A",0.559,0.692,"C4021741","Abnormal cortical bone morphology","disease","","Anatomical Abnormality",0.1,NA,NA,NA,0,0,"HPO"
"144",558,"AXL",0.489,0.615,"C0153690","Secondary malignant neoplasm of bone","disease","C23;C04;C05","Neoplastic Process",0.02,1,2017,2018,2,0,"BEFREE"
"145",558,"AXL",0.489,0.615,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.01,1,2013,2013,1,0,"BEFREE"
"146",563,"AZGP1",0.566,0.769,"C0153690","Secondary malignant neoplasm of bone","disease","C23;C04;C05","Neoplastic Process",0.01,1,2006,2006,1,0,"BEFREE"
"147",567,"B2M",0.447,0.846,"C0153690","Secondary malignant neoplasm of bone","disease","C23;C04;C05","Neoplastic Process",0.01,1,2013,2013,1,0,"BEFREE"
"148",567,"B2M",0.447,0.846,"C0238790","bone destruction","disease","","Disease or Syndrome",0.01,1,2019,2019,1,0,"BEFREE"
"149",567,"B2M",0.447,0.846,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.01,1,2006,2006,1,0,"BEFREE"
"150",571,"BACH1",0.585,0.731,"C0153690","Secondary malignant neoplasm of bone","disease","C23;C04;C05","Neoplastic Process",0.01,1,2012,2012,1,0,"BEFREE"
"151",571,"BACH1",0.585,0.731,"C0238790","bone destruction","disease","","Disease or Syndrome",0.01,1,2017,2017,1,0,"BEFREE"
"152",573,"BAG1",0.538,0.769,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.01,1,2012,2012,1,0,"BEFREE"
"153",579,"NKX3-2",0.736,0.308,"C1866710","Delayed pubic bone ossification","phenotype","","Finding",0.1,NA,NA,NA,0,0,"HPO"
"154",579,"NKX3-2",0.736,0.308,"C4025368","Pseudoepiphyses of hand bones","disease","","Anatomical Abnormality",0.1,NA,NA,NA,0,0,"HPO"
"155",580,"BARD1",0.597,0.538,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.01,1,2019,2019,1,0,"BEFREE"
"156",581,"BAX",0.417,0.885,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.04,1,2005,2019,4,0,"BEFREE"
"157",590,"BCHE",0.447,0.923,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.01,1,2016,2016,1,0,"BEFREE"
"158",595,"CCND1",0.344,0.923,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.1,1,1994,2019,19,0,"BEFREE"
"159",595,"CCND1",0.344,0.923,"C4021634","Abnormality of bone marrow cell morphology","disease","","Anatomical Abnormality",0.1,NA,NA,NA,0,0,"HPO"
"160",596,"BCL2",0.291,0.885,"C0153690","Secondary malignant neoplasm of bone","disease","C23;C04;C05","Neoplastic Process",0.02,1,2002,2009,2,0,"BEFREE"
"161",596,"BCL2",0.291,0.885,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.1,0.981,1995,2019,53,0,"BEFREE"
"162",597,"BCL2A1",0.529,0.731,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.01,1,1998,1998,1,0,"BEFREE"
"163",599,"BCL2L2",0.599,0.615,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.01,1,2018,2018,1,0,"BEFREE"
"164",604,"BCL6",0.444,0.808,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.01,1,2009,2009,1,0,"BEFREE"
"165",607,"BCL9",0.595,0.615,"C0153690","Secondary malignant neoplasm of bone","disease","C23;C04;C05","Neoplastic Process",0.01,1,2017,2017,1,0,"BEFREE"
"166",607,"BCL9",0.595,0.615,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.01,1,2018,2018,1,0,"BEFREE"
"167",613,"BCR",0.431,0.885,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.01,1,1990,1990,1,0,"BEFREE"
"168",613,"BCR",0.431,0.885,"C1855340","Bowing of the long bones","phenotype","","Congenital Abnormality",0.1,NA,NA,NA,0,0,"HPO"
"169",627,"BDNF",0.345,0.923,"C0153690","Secondary malignant neoplasm of bone","disease","C23;C04;C05","Neoplastic Process",0.01,1,2018,2018,1,0,"BEFREE"
"170",627,"BDNF",0.345,0.923,"C0238790","bone destruction","disease","","Disease or Syndrome",0.01,1,2013,2013,1,0,"BEFREE"
"171",627,"BDNF",0.345,0.923,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.02,1,2018,2019,2,0,"BEFREE"
"172",632,"BGLAP",0.462,0.846,"C0027543","Avascular necrosis of bone","phenotype","C23;C05","Disease or Syndrome",0.01,1,2019,2019,1,0,"BEFREE"
"173",632,"BGLAP",0.462,0.846,"C0153690","Secondary malignant neoplasm of bone","disease","C23;C04;C05","Neoplastic Process",0.02,1,2000,2003,2,0,"BEFREE"
"174",632,"BGLAP",0.462,0.846,"C0342635","Hungry bone syndrome","disease","C18;C05","Disease or Syndrome",0.01,1,2020,2020,1,0,"BEFREE"
"175",632,"BGLAP",0.462,0.846,"C0410719","Deformity of bone","group","C05","Anatomical Abnormality",0.01,1,2018,2018,1,0,"BEFREE"
"176",632,"BGLAP",0.462,0.846,"C0585442","Osteosarcoma of bone","disease","C04","Neoplastic Process",0.1,1,1990,2019,29,0,"BEFREE"
