"","geneId","geneSymbol","DSI","DPI","diseaseId","diseaseName","diseaseType","diseaseClass","diseaseSemanticType","score","EI","YearInitial","YearFinal","NofPmids","NofSnps","source"
"64",355,"FAS",0.372,0.923,"C3665419","intracranial glioma","disease","C04;C10","Neoplastic Process",0.21,1,2000,2018,2,0,"BEFREE;RGD"
"65",356,"FASLG",0.43,0.885,"C3665419","intracranial glioma","disease","C04;C10","Neoplastic Process",0.21,1,2000,2018,2,0,"BEFREE;RGD"
"66",367,"AR",0.351,0.846,"C0206716","Ganglioglioma","disease","C04","Neoplastic Process",0.02,1,1997,2007,2,0,"BEFREE"
"67",367,"AR",0.351,0.846,"C1332969","Childhood Ganglioglioma","disease","C04","Neoplastic Process",0.01,1,2007,2007,1,0,"BEFREE"
"68",367,"AR",0.351,0.846,"C1997217","Low grade glioma","disease","C04","Neoplastic Process",0.01,1,2020,2020,1,0,"BEFREE"
"69",390,"RND3",0.656,0.385,"C4722099","High grade glioma","disease","C04","Neoplastic Process",0.01,1,2015,2015,1,0,"BEFREE"
"70",396,"ARHGDIA",0.663,0.577,"C0028945","oligodendroglioma","disease","C04","Neoplastic Process",0.01,1,2008,2008,1,0,"LHGDN"
"71",410,"ARSA",0.448,0.923,"C0085131","Gangliosidosis GM1","disease","C16;C18;C10","Disease or Syndrome",0.01,1,2004,2004,1,0,"BEFREE"
"72",429,"ASCL1",0.552,0.692,"C0017075","Ganglioneuroma","disease","C04","Neoplastic Process",0.1,NA,NA,NA,0,0,"HPO"
"73",429,"ASCL1",0.552,0.692,"C0028945","oligodendroglioma","disease","C04","Neoplastic Process",0.01,1,2006,2006,1,0,"BEFREE"
"74",429,"ASCL1",0.552,0.692,"C0206718","Ganglioneuroblastoma","disease","C04","Neoplastic Process",0.1,NA,NA,NA,0,0,"HPO"
"75",429,"ASCL1",0.552,0.692,"C0751396","Well Differentiated Oligodendroglioma","disease","C04","Neoplastic Process",0.01,1,2006,2006,1,0,"BEFREE"
"76",435,"ASL",0.593,0.731,"C1997217","Low grade glioma","disease","C04","Neoplastic Process",0.01,1,2019,2019,1,0,"BEFREE"
"77",472,"ATM",0.374,0.885,"C0030421","Paraganglioma","disease","C04","Neoplastic Process",0.11,1,2007,2007,1,0,"BEFREE;CLINVAR"
"78",482,"ATP1B2",0.705,0.308,"C0259783","mixed gliomas","disease","C04","Neoplastic Process",0.3,1,2006,2006,1,0,"CTD_human"
"79",546,"ATRX",0.452,0.808,"C0028945","oligodendroglioma","disease","C04","Neoplastic Process",0.07,1,2014,2019,7,0,"BEFREE"
"80",546,"ATRX",0.452,0.808,"C0030421","Paraganglioma","disease","C04","Neoplastic Process",0.13,1,2015,2019,3,0,"BEFREE;HPO"
"81",546,"ATRX",0.452,0.808,"C0259783","mixed gliomas","disease","C04","Neoplastic Process",0.3,1,2013,2014,2,0,"CTD_human"
"82",546,"ATRX",0.452,0.808,"C0279070","Adult Oligodendroglioma","disease","C04","Neoplastic Process",0.03,1,2015,2019,3,0,"BEFREE"
"83",546,"ATRX",0.452,0.808,"C0280475","Childhood Oligodendroglioma","disease","C04","Neoplastic Process",0.03,1,2015,2019,3,0,"BEFREE"
"84",546,"ATRX",0.452,0.808,"C0280793","Mixed Oligodendroglioma-Astrocytoma","disease","C04","Neoplastic Process",0.01,1,2019,2019,1,0,"BEFREE"
"85",546,"ATRX",0.452,0.808,"C0751396","Well Differentiated Oligodendroglioma","disease","C04","Neoplastic Process",0.07,1,2014,2019,7,0,"BEFREE"
"86",572,"BAD",0.553,0.769,"C1997217","Low grade glioma","disease","C04","Neoplastic Process",0.01,1,2018,2018,1,0,"BEFREE"
"87",581,"BAX",0.417,0.885,"C3665419","intracranial glioma","disease","C04;C10","Neoplastic Process",0.2,1,2017,2018,2,0,"RGD"
"88",595,"CCND1",0.344,0.923,"C0017075","Ganglioneuroma","disease","C04","Neoplastic Process",0.02,1,2008,2015,2,0,"BEFREE"
"89",595,"CCND1",0.344,0.923,"C0028945","oligodendroglioma","disease","C04","Neoplastic Process",0.01,1,2018,2018,1,0,"BEFREE"
"90",595,"CCND1",0.344,0.923,"C0030421","Paraganglioma","disease","C04","Neoplastic Process",0.11,1,2014,2014,1,0,"BEFREE;HPO"
"91",595,"CCND1",0.344,0.923,"C0206718","Ganglioneuroblastoma","disease","C04","Neoplastic Process",0.02,1,2015,2017,2,0,"BEFREE"
"92",595,"CCND1",0.344,0.923,"C0334590","Anaplastic Oligodendroglioma","disease","C04","Neoplastic Process",0.01,1,2018,2018,1,0,"BEFREE"
"93",595,"CCND1",0.344,0.923,"C0751396","Well Differentiated Oligodendroglioma","disease","C04","Neoplastic Process",0.01,1,2018,2018,1,0,"BEFREE"
"94",595,"CCND1",0.344,0.923,"C4086158","Childhood Ganglioneuroblastoma","disease","C04","Neoplastic Process",0.02,1,2015,2017,2,0,"BEFREE"
"95",596,"BCL2",0.291,0.885,"C0017075","Ganglioneuroma","disease","C04","Neoplastic Process",0.01,1,1995,1995,1,0,"BEFREE"
"96",596,"BCL2",0.291,0.885,"C0028945","oligodendroglioma","disease","C04","Neoplastic Process",0.03,1,1999,2011,3,0,"BEFREE"
"97",596,"BCL2",0.291,0.885,"C0030421","Paraganglioma","disease","C04","Neoplastic Process",0.01,1,2001,2001,1,0,"BEFREE"
"98",596,"BCL2",0.291,0.885,"C0206718","Ganglioneuroblastoma","disease","C04","Neoplastic Process",0.02,1,1994,2013,2,0,"BEFREE"
"99",596,"BCL2",0.291,0.885,"C0279070","Adult Oligodendroglioma","disease","C04","Neoplastic Process",0.03,1,1999,2011,3,0,"BEFREE"
"100",596,"BCL2",0.291,0.885,"C0280475","Childhood Oligodendroglioma","disease","C04","Neoplastic Process",0.03,1,1999,2011,3,0,"BEFREE"
"101",596,"BCL2",0.291,0.885,"C0280790","Adult Anaplastic Oligodendroglioma","disease","C04","Neoplastic Process",0.01,1,2011,2011,1,0,"BEFREE"
"102",596,"BCL2",0.291,0.885,"C0334590","Anaplastic Oligodendroglioma","disease","C04","Neoplastic Process",0.02,1,1999,2011,2,0,"BEFREE"
"103",596,"BCL2",0.291,0.885,"C0751396","Well Differentiated Oligodendroglioma","disease","C04","Neoplastic Process",0.03,1,1999,2011,3,0,"BEFREE"
"104",596,"BCL2",0.291,0.885,"C1332943","Childhood Anaplastic Oligodendroglioma","disease","C04","Neoplastic Process",0.01,1,2011,2011,1,0,"BEFREE"
"105",596,"BCL2",0.291,0.885,"C3665419","intracranial glioma","disease","C04;C10","Neoplastic Process",0.2,1,2017,2018,2,0,"RGD"
"106",596,"BCL2",0.291,0.885,"C4086158","Childhood Ganglioneuroblastoma","disease","C04","Neoplastic Process",0.02,1,1994,2013,2,0,"BEFREE"
"107",598,"BCL2L1",0.493,0.885,"C0028945","oligodendroglioma","disease","C04","Neoplastic Process",0.01,1,2006,2006,1,0,"LHGDN"
"108",604,"BCL6",0.444,0.808,"C1997217","Low grade glioma","disease","C04","Neoplastic Process",0.01,1,2014,2014,1,0,"BEFREE"
"109",604,"BCL6",0.444,0.808,"C4722099","High grade glioma","disease","C04","Neoplastic Process",0.01,1,2017,2017,1,0,"BEFREE"
"110",627,"BDNF",0.345,0.923,"C0017075","Ganglioneuroma","disease","C04","Neoplastic Process",0.1,NA,NA,NA,0,0,"HPO"
"111",627,"BDNF",0.345,0.923,"C0206718","Ganglioneuroblastoma","disease","C04","Neoplastic Process",0.1,NA,NA,NA,0,0,"HPO"
"112",627,"BDNF",0.345,0.923,"C4722099","High grade glioma","disease","C04","Neoplastic Process",0.01,1,2013,2013,1,0,"BEFREE"
"113",648,"BMI1",0.448,0.808,"C0085758","Aganglionosis, Colonic","disease","C16;C06","Congenital Abnormality",0.3,1,2018,2018,1,0,"CTD_human"
"114",648,"BMI1",0.448,0.808,"C0259783","mixed gliomas","disease","C04","Neoplastic Process",0.3,1,2013,2013,1,0,"CTD_human"
"115",648,"BMI1",0.448,0.808,"C1257840","Aganglionosis, Rectosigmoid Colon","disease","C16;C06","Congenital Abnormality",0.3,1,2018,2018,1,0,"CTD_human"
"116",648,"BMI1",0.448,0.808,"C3661523","Congenital Intestinal Aganglionosis","disease","C16;C06","Disease or Syndrome",0.3,1,2018,2018,1,0,"CTD_human"
"117",648,"BMI1",0.448,0.808,"C3665419","intracranial glioma","disease","C04;C10","Neoplastic Process",0.01,1,2015,2015,1,0,"BEFREE"
"118",652,"BMP4",0.422,0.808,"C3665419","intracranial glioma","disease","C04;C10","Neoplastic Process",0.01,1,2010,2010,1,0,"BEFREE"
"119",673,"BRAF",0.319,0.846,"C0028945","oligodendroglioma","disease","C04","Neoplastic Process",0.06,1,2012,2019,6,2,"BEFREE"
"120",673,"BRAF",0.319,0.846,"C0030421","Paraganglioma","disease","C04","Neoplastic Process",0.01,1,2019,2019,1,0,"BEFREE"
"121",673,"BRAF",0.319,0.846,"C0206716","Ganglioglioma","disease","C04","Neoplastic Process",0.2,0.974,2011,2020,38,3,"BEFREE;CLINVAR"
"122",673,"BRAF",0.319,0.846,"C0206726","gliosarcoma","disease","C04","Neoplastic Process",0.03,1,2005,2020,3,2,"BEFREE;LHGDN"
"123",673,"BRAF",0.319,0.846,"C0259783","mixed gliomas","disease","C04","Neoplastic Process",0.3,1,2013,2013,1,0,"CTD_human"
"124",673,"BRAF",0.319,0.846,"C0279070","Adult Oligodendroglioma","disease","C04","Neoplastic Process",0.05,1,2012,2019,5,2,"BEFREE"
"125",673,"BRAF",0.319,0.846,"C0280475","Childhood Oligodendroglioma","disease","C04","Neoplastic Process",0.05,1,2012,2019,5,2,"BEFREE"
"126",673,"BRAF",0.319,0.846,"C0431112","Anaplastic ganglioglioma","disease","C04","Neoplastic Process",0.01,1,2018,2018,1,2,"BEFREE"
"127",673,"BRAF",0.319,0.846,"C0751396","Well Differentiated Oligodendroglioma","disease","C04","Neoplastic Process",0.06,1,2012,2019,6,2,"BEFREE"
"128",673,"BRAF",0.319,0.846,"C1321878","Desmoplastic infantile ganglioglioma","disease","","Neoplastic Process",0.01,1,2013,2013,1,0,"BEFREE"
"129",673,"BRAF",0.319,0.846,"C1332969","Childhood Ganglioglioma","disease","C04","Neoplastic Process",0.2,1,2011,2020,21,3,"BEFREE;CLINVAR"
"130",673,"BRAF",0.319,0.846,"C1997217","Low grade glioma","disease","C04","Neoplastic Process",0.05,1,2017,2020,5,2,"BEFREE"
"131",673,"BRAF",0.319,0.846,"C2347979","Rosette-forming glioneuronal tumor of the fourth ventricle","disease","C04;C10","Neoplastic Process",0.01,1,2011,2011,1,0,"BEFREE"
"132",673,"BRAF",0.319,0.846,"C4289580","Epithelioid glioblastoma","disease","","Neoplastic Process",0.1,0.933,2014,2019,15,2,"BEFREE"
"133",673,"BRAF",0.319,0.846,"C4722099","High grade glioma","disease","C04","Neoplastic Process",0.03,1,2015,2019,3,2,"BEFREE"
"134",675,"BRCA2",0.379,0.846,"C0259783","mixed gliomas","disease","C04","Neoplastic Process",0.3,NA,NA,NA,0,0,"CTD_human"
"135",706,"TSPO",0.444,0.885,"C0206726","gliosarcoma","disease","C04","Neoplastic Process",0.01,1,2017,2017,1,0,"BEFREE"
"136",706,"TSPO",0.444,0.885,"C4722099","High grade glioma","disease","C04","Neoplastic Process",0.01,1,2019,2019,1,0,"BEFREE"
"137",767,"CA8",0.595,0.654,"C0028945","oligodendroglioma","disease","C04","Neoplastic Process",0.01,1,2018,2018,1,0,"BEFREE"
"138",767,"CA8",0.595,0.654,"C0751396","Well Differentiated Oligodendroglioma","disease","C04","Neoplastic Process",0.01,1,2018,2018,1,0,"BEFREE"
"139",768,"CA9",0.483,0.731,"C0028945","oligodendroglioma","disease","C04","Neoplastic Process",0.01,1,2016,2016,1,0,"BEFREE"
"140",768,"CA9",0.483,0.731,"C0279070","Adult Oligodendroglioma","disease","C04","Neoplastic Process",0.01,1,2016,2016,1,0,"BEFREE"
"141",768,"CA9",0.483,0.731,"C0280475","Childhood Oligodendroglioma","disease","C04","Neoplastic Process",0.01,1,2016,2016,1,0,"BEFREE"
"142",768,"CA9",0.483,0.731,"C0751396","Well Differentiated Oligodendroglioma","disease","C04","Neoplastic Process",0.01,1,2016,2016,1,0,"BEFREE"
"143",778,"CACNA1F",0.595,0.5,"C0028945","oligodendroglioma","disease","C04","Neoplastic Process",0.02,0.5,2008,2014,2,0,"BEFREE"
"144",778,"CACNA1F",0.595,0.5,"C0280793","Mixed Oligodendroglioma-Astrocytoma","disease","C04","Neoplastic Process",0.01,1,2014,2014,1,0,"BEFREE"
"145",778,"CACNA1F",0.595,0.5,"C0751396","Well Differentiated Oligodendroglioma","disease","C04","Neoplastic Process",0.02,0.5,2008,2014,2,0,"BEFREE"
"146",794,"CALB2",0.545,0.692,"C0085758","Aganglionosis, Colonic","disease","C16;C06","Congenital Abnormality",0.01,1,2020,2020,1,0,"BEFREE"
"147",796,"CALCA",0.416,0.923,"C0030421","Paraganglioma","disease","C04","Neoplastic Process",0.02,0.5,2012,2015,2,0,"BEFREE"
"148",796,"CALCA",0.416,0.923,"C0334595","Ganglioneuromatosis","disease","C04","Neoplastic Process",0.01,1,2001,2001,1,0,"BEFREE"
"149",796,"CALCA",0.416,0.923,"C4722099","High grade glioma","disease","C04","Neoplastic Process",0.01,1,2019,2019,1,0,"BEFREE"
"150",799,"CALCR",0.464,0.846,"C4722099","High grade glioma","disease","C04","Neoplastic Process",0.01,1,2019,2019,1,0,"BEFREE"
"151",801,"CALM1",0.472,0.808,"C0030421","Paraganglioma","disease","C04","Neoplastic Process",0.01,0,2019,2019,1,0,"BEFREE"
"152",801,"CALM1",0.472,0.808,"C1708957","Mediastinal Paraganglioma","disease","","Neoplastic Process",0.01,1,2019,2019,1,0,"BEFREE"
"153",805,"CALM2",0.472,0.808,"C0030421","Paraganglioma","disease","C04","Neoplastic Process",0.01,0,2019,2019,1,0,"BEFREE"
"154",805,"CALM2",0.472,0.808,"C1708957","Mediastinal Paraganglioma","disease","","Neoplastic Process",0.01,1,2019,2019,1,0,"BEFREE"
"155",808,"CALM3",0.485,0.846,"C0030421","Paraganglioma","disease","C04","Neoplastic Process",0.01,0,2019,2019,1,0,"BEFREE"
"156",808,"CALM3",0.485,0.846,"C1708957","Mediastinal Paraganglioma","disease","","Neoplastic Process",0.01,1,2019,2019,1,0,"BEFREE"
"157",810,"CALML3",0.621,0.5,"C3665419","intracranial glioma","disease","C04;C10","Neoplastic Process",0.01,1,2018,2018,1,0,"BEFREE"
"158",822,"CAPG",0.548,0.731,"C3665419","intracranial glioma","disease","C04;C10","Neoplastic Process",0.01,1,2019,2019,1,0,"BEFREE"
"159",836,"CASP3",0.351,0.923,"C0280790","Adult Anaplastic Oligodendroglioma","disease","C04","Neoplastic Process",0.01,1,2011,2011,1,0,"BEFREE"
"160",836,"CASP3",0.351,0.923,"C0334590","Anaplastic Oligodendroglioma","disease","C04","Neoplastic Process",0.01,1,2011,2011,1,0,"BEFREE"
"161",836,"CASP3",0.351,0.923,"C1332943","Childhood Anaplastic Oligodendroglioma","disease","C04","Neoplastic Process",0.01,1,2011,2011,1,0,"BEFREE"
"162",836,"CASP3",0.351,0.923,"C1997217","Low grade glioma","disease","C04","Neoplastic Process",0.01,1,2014,2014,1,0,"BEFREE"
"163",836,"CASP3",0.351,0.923,"C3665419","intracranial glioma","disease","C04;C10","Neoplastic Process",0.2,1,2018,2018,1,0,"RGD"
"164",846,"CASR",0.41,0.846,"C0017075","Ganglioneuroma","disease","C04","Neoplastic Process",0.01,1,2017,2017,1,0,"BEFREE"
"165",847,"CAT",0.359,0.962,"C0259783","mixed gliomas","disease","C04","Neoplastic Process",0.3,1,2011,2011,1,0,"CTD_human"
"166",857,"CAV1",0.388,0.885,"C0028945","oligodendroglioma","disease","C04","Neoplastic Process",0.04,1,2007,2019,4,0,"BEFREE"
"167",857,"CAV1",0.388,0.885,"C0751396","Well Differentiated Oligodendroglioma","disease","C04","Neoplastic Process",0.04,1,2007,2019,4,0,"BEFREE"
"168",857,"CAV1",0.388,0.885,"C3665419","intracranial glioma","disease","C04;C10","Neoplastic Process",0.02,1,2016,2019,2,0,"BEFREE"
"169",885,"CCK",0.453,0.846,"C0206726","gliosarcoma","disease","C04","Neoplastic Process",0.02,1,2003,2003,2,0,"BEFREE"
"170",887,"CCKBR",0.573,0.615,"C0206726","gliosarcoma","disease","C04","Neoplastic Process",0.01,1,2003,2003,1,0,"BEFREE"
"171",889,"KRIT1",0.5,0.808,"C0030421","Paraganglioma","disease","C04","Neoplastic Process",0.01,0,2019,2019,1,0,"BEFREE"
"172",889,"KRIT1",0.5,0.808,"C1708957","Mediastinal Paraganglioma","disease","","Neoplastic Process",0.01,1,2019,2019,1,0,"BEFREE"
"173",890,"CCNA2",0.578,0.654,"C0206716","Ganglioglioma","disease","C04","Neoplastic Process",0.01,1,2007,2007,1,0,"LHGDN"
"174",891,"CCNB1",0.512,0.731,"C0206716","Ganglioglioma","disease","C04","Neoplastic Process",0.01,1,2007,2007,1,0,"LHGDN"
"175",947,"CD34",0.368,0.808,"C0028945","oligodendroglioma","disease","C04","Neoplastic Process",0.01,1,2017,2017,1,0,"BEFREE"
"176",947,"CD34",0.368,0.808,"C0206716","Ganglioglioma","disease","C04","Neoplastic Process",0.05,1,2002,2019,5,0,"BEFREE"
"177",947,"CD34",0.368,0.808,"C0279070","Adult Oligodendroglioma","disease","C04","Neoplastic Process",0.01,1,2017,2017,1,0,"BEFREE"
"178",947,"CD34",0.368,0.808,"C0280475","Childhood Oligodendroglioma","disease","C04","Neoplastic Process",0.01,1,2017,2017,1,0,"BEFREE"
"179",947,"CD34",0.368,0.808,"C0751396","Well Differentiated Oligodendroglioma","disease","C04","Neoplastic Process",0.01,1,2017,2017,1,0,"BEFREE"
"180",947,"CD34",0.368,0.808,"C1332969","Childhood Ganglioglioma","disease","C04","Neoplastic Process",0.01,1,2019,2019,1,0,"BEFREE"
"181",947,"CD34",0.368,0.808,"C4722099","High grade glioma","disease","C04","Neoplastic Process",0.01,1,2019,2019,1,0,"BEFREE"
