geneId,Gene,DSI,DPI,diseaseId,diseaseName,diseaseType,diseaseClass,diseaseSemanticType,score,EI,YearInitial,YearFinal,NofPmids,NofSnps,source
183,AGT,0.367,0.923,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.01,1,2018,2018,1,0,BEFREE
185,AGTR1,0.423,0.846,C0268414,Hyperphosphatasemia with bone disease,disease,C05,Disease or Syndrome,0.01,1,2019,2019,1,0,BEFREE
185,AGTR1,0.423,0.846,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.02,1,2017,2018,2,0,BEFREE
187,APLNR,0.588,0.692,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.01,1,2019,2019,1,0,BEFREE
190,NR0B1,0.494,0.808,C0153690,Secondary malignant neoplasm of bone,disease,C23;C04;C05,Neoplastic Process,0.01,1,2017,2017,1,0,BEFREE
190,NR0B1,0.494,0.808,C0541764,Delayed bone age,phenotype,,Finding,0.1,NA,NA,NA,0,0,HPO
196,AHR,0.41,0.923,C0238790,bone destruction,disease,,Disease or Syndrome,0.01,1,2018,2018,1,0,BEFREE
196,AHR,0.41,0.923,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.02,1,2018,2019,2,0,BEFREE
197,AHSG,0.506,0.846,C0541764,Delayed bone age,phenotype,,Finding,0.1,NA,NA,NA,0,0,HPO
207,AKT1,0.311,0.962,C0153690,Secondary malignant neoplasm of bone,disease,C23;C04;C05,Neoplastic Process,0.03,1,2006,2015,3,0,BEFREE
207,AKT1,0.311,0.962,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.1,1,2012,2020,43,0,BEFREE
207,AKT1,0.311,0.962,C4021785,Abnormality of the metacarpal bones,disease,C05,Anatomical Abnormality,0.1,NA,NA,NA,0,0,HPO
208,AKT2,0.474,0.769,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.04,1,2011,2017,4,0,BEFREE
213,ALB,0.317,0.962,C0153690,Secondary malignant neoplasm of bone,disease,C23;C04;C05,Neoplastic Process,0.01,1,2017,2017,1,0,BEFREE
213,ALB,0.317,0.962,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.06,1,2003,2019,6,0,BEFREE
213,ALB,0.317,0.962,C4076240,Chronic kidney disease mineral and bone disorder,disease,C18;C13;C05;C12;C19,Disease or Syndrome,0.02,1,2019,2019,2,0,BEFREE
214,ALCAM,0.502,0.808,C0153690,Secondary malignant neoplasm of bone,disease,C23;C04;C05,Neoplastic Process,0.02,1,2010,2014,2,0,BEFREE
214,ALCAM,0.502,0.808,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.01,1,2019,2019,1,0,BEFREE
216,ALDH1A1,0.46,0.846,C0153690,Secondary malignant neoplasm of bone,disease,C23;C04;C05,Neoplastic Process,0.01,1,2019,2019,1,0,BEFREE
216,ALDH1A1,0.46,0.846,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.04,1,2015,2019,4,0,BEFREE
216,ALDH1A1,0.46,0.846,C0595905,cortex bone disorders,disease,C05,Disease or Syndrome,0.01,1,2018,2018,1,0,BEFREE
217,ALDH2,0.457,0.885,C0027543,Avascular necrosis of bone,phenotype,C23;C05,Disease or Syndrome,0.01,1,2005,2005,1,0,BEFREE
219,ALDH1B1,0.691,0.462,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.01,1,2018,2018,1,0,BEFREE
226,ALDOA,0.631,0.615,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.01,1,2014,2014,1,0,BEFREE
238,ALK,0.396,0.846,C0153690,Secondary malignant neoplasm of bone,disease,C23;C04;C05,Neoplastic Process,0.01,1,2019,2019,1,0,BEFREE
238,ALK,0.396,0.846,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.03,1,2018,2019,3,0,BEFREE
240,ALOX5,0.447,0.885,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.02,1,1988,1990,2,0,BEFREE
241,ALOX5AP,0.612,0.731,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.01,1,2019,2019,1,0,BEFREE
248,ALPI,0.563,0.769,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.01,1,2016,2016,1,0,BEFREE
249,ALPL,0.546,0.769,C0410719,Deformity of bone,group,C05,Anatomical Abnormality,0.01,1,2014,2014,1,0,BEFREE
249,ALPL,0.546,0.769,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.01,1,2015,2015,1,3,BEFREE
249,ALPL,0.546,0.769,C1855815,Skin dimple over apex of long bone angulation,phenotype,,Finding,0.1,NA,NA,NA,0,0,HPO
250,ALPP,0.487,0.808,C0153690,Secondary malignant neoplasm of bone,disease,C23;C04;C05,Neoplastic Process,0.05,1,2017,2019,5,0,BEFREE
250,ALPP,0.487,0.808,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.02,1,2016,2017,2,0,BEFREE
258,AMBN,0.716,0.231,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.02,1,2011,2017,2,0,BEFREE
259,AMBP,0.537,0.731,C2242472,Infection of bone,disease,C23;C01;C05,Disease or Syndrome,0.01,1,2019,2019,1,0,BEFREE
273,AMPH,0.653,0.462,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.01,1,2019,2019,1,0,BEFREE
282,ANCR,0.751,0.154,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.01,1,2019,2019,1,0,BEFREE
284,ANGPT1,0.446,0.808,C0153690,Secondary malignant neoplasm of bone,disease,C23;C04;C05,Neoplastic Process,0.01,1,2012,2012,1,0,BEFREE
285,ANGPT2,0.41,0.846,C0153690,Secondary malignant neoplasm of bone,disease,C23;C04;C05,Neoplastic Process,0.01,1,2008,2008,1,0,BEFREE
285,ANGPT2,0.41,0.846,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.01,1,2017,2017,1,0,BEFREE
290,ANPEP,0.462,0.769,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.03,1,1999,2014,3,0,BEFREE
301,ANXA1,0.442,0.885,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.01,1,2010,2010,1,0,BEFREE
302,ANXA2,0.453,0.808,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.03,1,2001,2018,3,0,BEFREE
306,ANXA3,0.61,0.615,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.01,1,2019,2019,1,0,BEFREE
308,ANXA5,0.458,0.769,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.06,1,2017,2019,6,0,BEFREE
309,ANXA6,0.514,0.846,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.01,1,2019,2019,1,0,BEFREE
317,APAF1,0.525,0.769,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.01,1,2014,2014,1,0,BEFREE
324,APC,0.373,0.962,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.03,1,2014,2019,3,0,BEFREE
324,APC,0.373,0.962,C1836193,Synostosis of carpal bones,phenotype,,Finding,0.1,NA,NA,NA,0,0,HPO
324,APC,0.373,0.962,C4021785,Abnormality of the metacarpal bones,disease,C05,Anatomical Abnormality,0.1,NA,NA,NA,0,0,HPO
326,AIRE,0.516,0.808,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.01,1,2018,2018,1,0,BEFREE
328,APEX1,0.458,0.846,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.1,1,2004,2019,10,0,BEFREE
329,BIRC2,0.535,0.731,C0153690,Secondary malignant neoplasm of bone,disease,C23;C04;C05,Neoplastic Process,0.01,1,2014,2014,1,0,BEFREE
329,BIRC2,0.535,0.731,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.02,1,2009,2017,2,0,BEFREE
330,BIRC3,0.491,0.769,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.02,1,2009,2017,2,0,BEFREE
331,XIAP,0.447,0.808,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.04,1,2011,2019,4,0,BEFREE
332,BIRC5,0.495,0.731,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.01,1,2018,2018,1,0,BEFREE
347,APOD,0.584,0.577,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.01,1,2009,2009,1,0,BEFREE
348,APOE,0.338,0.962,C0153690,Secondary malignant neoplasm of bone,disease,C23;C04;C05,Neoplastic Process,0.01,1,2003,2003,1,0,BEFREE
353,APRT,0.423,0.846,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.03,1,1999,2013,3,0,BEFREE
354,KLK3,0.443,0.885,C0153690,Secondary malignant neoplasm of bone,disease,C23;C04;C05,Neoplastic Process,0.1,0.935,2002,2020,46,0,BEFREE
354,KLK3,0.443,0.885,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.01,1,2003,2003,1,0,BEFREE
355,FAS,0.372,0.923,C0027543,Avascular necrosis of bone,phenotype,C23;C05,Disease or Syndrome,0.1,NA,NA,NA,0,0,HPO
355,FAS,0.372,0.923,C0153690,Secondary malignant neoplasm of bone,disease,C23;C04;C05,Neoplastic Process,0.01,1,2003,2003,1,0,BEFREE
355,FAS,0.372,0.923,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.07,0.857,1995,2018,7,0,BEFREE
356,FASLG,0.43,0.885,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.02,1,2010,2018,2,0,BEFREE
358,AQP1,0.467,0.885,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.01,1,2015,2015,1,0,BEFREE
360,AQP3,0.546,0.769,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.01,1,2018,2018,1,0,BEFREE
367,AR,0.351,0.846,C0153690,Secondary malignant neoplasm of bone,disease,C23;C04;C05,Neoplastic Process,0.1,1,1996,2018,13,0,BEFREE
367,AR,0.351,0.846,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.03,1,2017,2020,3,0,BEFREE
372,ARCN1,0.705,0.462,C0545053,Advanced bone age,phenotype,,Finding,0.1,NA,NA,NA,0,0,HPO
374,AREG,0.487,0.769,C0153690,Secondary malignant neoplasm of bone,disease,C23;C04;C05,Neoplastic Process,0.01,1,2017,2017,1,0,BEFREE
374,AREG,0.487,0.769,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.01,1,2015,2015,1,0,BEFREE
384,ARG2,0.569,0.731,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.01,1,2016,2016,1,0,BEFREE
387,RHOA,0.502,0.808,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.02,1,2014,2019,2,0,BEFREE
388,RHOB,0.653,0.423,C0153690,Secondary malignant neoplasm of bone,disease,C23;C04;C05,Neoplastic Process,0.01,1,2014,2014,1,0,BEFREE
388,RHOB,0.653,0.423,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.01,1,2019,2019,1,0,BEFREE
392,ARHGAP1,0.638,0.577,C0153690,Secondary malignant neoplasm of bone,disease,C23;C04;C05,Neoplastic Process,0.01,1,2017,2017,1,0,BEFREE
402,ARL2,0.743,0.269,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.01,1,2017,2017,1,0,BEFREE
405,ARNT,0.575,0.692,C0153690,Secondary malignant neoplasm of bone,disease,C23;C04;C05,Neoplastic Process,0.01,1,2016,2016,1,0,BEFREE
407,ARR3,0.46,0.846,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.04,1,2003,2019,4,0,BEFREE
411,ARSB,0.595,0.692,C0027543,Avascular necrosis of bone,phenotype,C23;C05,Disease or Syndrome,0.1,NA,NA,NA,0,0,HPO
412,STS,0.431,0.846,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.02,1,2017,2019,2,0,BEFREE
445,ASS1,0.523,0.731,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.02,1,2010,2016,2,0,BEFREE
467,ATF3,0.494,0.885,C0153690,Secondary malignant neoplasm of bone,disease,C23;C04;C05,Neoplastic Process,0.01,1,2018,2018,1,0,BEFREE
467,ATF3,0.494,0.885,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.02,1,2017,2019,2,0,BEFREE
468,ATF4,0.507,0.769,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.04,1,2016,2019,4,0,BEFREE
470,ATHS,0.551,0.769,C0153690,Secondary malignant neoplasm of bone,disease,C23;C04;C05,Neoplastic Process,0.05,1,2017,2019,5,0,BEFREE
470,ATHS,0.551,0.769,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.01,1,2017,2017,1,0,BEFREE
471,ATIC,0.576,0.731,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.02,0.5,2013,2017,2,1,BEFREE
472,ATM,0.374,0.885,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.04,1,2015,2019,4,0,BEFREE
472,ATM,0.374,0.885,C4021634,Abnormality of bone marrow cell morphology,disease,,Anatomical Abnormality,0.1,NA,NA,NA,0,0,HPO
526,ATP6V1B2,0.606,0.577,C1848769,Overtubulated long bones,phenotype,,Finding,0.1,NA,NA,NA,0,0,HPO
528,ATP6V1C1,0.821,0.192,C0153690,Secondary malignant neoplasm of bone,disease,C23;C04;C05,Neoplastic Process,0.01,1,2017,2017,1,0,BEFREE
538,ATP7A,0.494,0.769,C1844689,Pelvic bone exostoses,disease,C05,Neoplastic Process,0.1,NA,NA,NA,0,0,HPO
538,ATP7A,0.494,0.769,C1855340,Bowing of the long bones,phenotype,,Congenital Abnormality,0.1,NA,NA,NA,0,0,HPO
538,ATP7A,0.494,0.769,C4021738,Abnormality of the pubic bone,phenotype,,Anatomical Abnormality,0.1,NA,NA,NA,0,0,HPO
545,ATR,0.456,0.923,C0541764,Delayed bone age,phenotype,,Finding,0.1,NA,NA,NA,0,0,HPO
545,ATR,0.456,0.923,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.01,1,2015,2015,1,0,BEFREE
546,ATRX,0.452,0.808,C0541764,Delayed bone age,phenotype,,Finding,0.1,NA,NA,NA,0,0,HPO
546,ATRX,0.452,0.808,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.05,0.8,2011,2018,5,0,BEFREE
547,KIF1A,0.559,0.692,C2674432,Reduced bone mineral density,phenotype,,Finding,0.1,NA,NA,NA,0,0,HPO
547,KIF1A,0.559,0.692,C4021735,Abnormality of the hip bone,disease,,Anatomical Abnormality,0.1,NA,NA,NA,0,0,HPO
547,KIF1A,0.559,0.692,C4021741,Abnormal cortical bone morphology,disease,,Anatomical Abnormality,0.1,NA,NA,NA,0,0,HPO
558,AXL,0.489,0.615,C0153690,Secondary malignant neoplasm of bone,disease,C23;C04;C05,Neoplastic Process,0.02,1,2017,2018,2,0,BEFREE
558,AXL,0.489,0.615,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.01,1,2013,2013,1,0,BEFREE
563,AZGP1,0.566,0.769,C0153690,Secondary malignant neoplasm of bone,disease,C23;C04;C05,Neoplastic Process,0.01,1,2006,2006,1,0,BEFREE
567,B2M,0.447,0.846,C0153690,Secondary malignant neoplasm of bone,disease,C23;C04;C05,Neoplastic Process,0.01,1,2013,2013,1,0,BEFREE
567,B2M,0.447,0.846,C0238790,bone destruction,disease,,Disease or Syndrome,0.01,1,2019,2019,1,0,BEFREE
567,B2M,0.447,0.846,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.01,1,2006,2006,1,0,BEFREE
571,BACH1,0.585,0.731,C0153690,Secondary malignant neoplasm of bone,disease,C23;C04;C05,Neoplastic Process,0.01,1,2012,2012,1,0,BEFREE
571,BACH1,0.585,0.731,C0238790,bone destruction,disease,,Disease or Syndrome,0.01,1,2017,2017,1,0,BEFREE
573,BAG1,0.538,0.769,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.01,1,2012,2012,1,0,BEFREE
579,NKX3-2,0.736,0.308,C1866710,Delayed pubic bone ossification,phenotype,,Finding,0.1,NA,NA,NA,0,0,HPO
579,NKX3-2,0.736,0.308,C4025368,Pseudoepiphyses of hand bones,disease,,Anatomical Abnormality,0.1,NA,NA,NA,0,0,HPO
580,BARD1,0.597,0.538,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.01,1,2019,2019,1,0,BEFREE
581,BAX,0.417,0.885,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.04,1,2005,2019,4,0,BEFREE
590,BCHE,0.447,0.923,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.01,1,2016,2016,1,0,BEFREE
595,CCND1,0.344,0.923,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.1,1,1994,2019,19,0,BEFREE
595,CCND1,0.344,0.923,C4021634,Abnormality of bone marrow cell morphology,disease,,Anatomical Abnormality,0.1,NA,NA,NA,0,0,HPO
596,BCL2,0.291,0.885,C0153690,Secondary malignant neoplasm of bone,disease,C23;C04;C05,Neoplastic Process,0.02,1,2002,2009,2,0,BEFREE
596,BCL2,0.291,0.885,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.1,0.981,1995,2019,53,0,BEFREE
597,BCL2A1,0.529,0.731,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.01,1,1998,1998,1,0,BEFREE
599,BCL2L2,0.599,0.615,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.01,1,2018,2018,1,0,BEFREE
604,BCL6,0.444,0.808,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.01,1,2009,2009,1,0,BEFREE
607,BCL9,0.595,0.615,C0153690,Secondary malignant neoplasm of bone,disease,C23;C04;C05,Neoplastic Process,0.01,1,2017,2017,1,0,BEFREE
607,BCL9,0.595,0.615,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.01,1,2018,2018,1,0,BEFREE
613,BCR,0.431,0.885,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.01,1,1990,1990,1,0,BEFREE
613,BCR,0.431,0.885,C1855340,Bowing of the long bones,phenotype,,Congenital Abnormality,0.1,NA,NA,NA,0,0,HPO
627,BDNF,0.345,0.923,C0153690,Secondary malignant neoplasm of bone,disease,C23;C04;C05,Neoplastic Process,0.01,1,2018,2018,1,0,BEFREE
627,BDNF,0.345,0.923,C0238790,bone destruction,disease,,Disease or Syndrome,0.01,1,2013,2013,1,0,BEFREE
627,BDNF,0.345,0.923,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.02,1,2018,2019,2,0,BEFREE
632,BGLAP,0.462,0.846,C0027543,Avascular necrosis of bone,phenotype,C23;C05,Disease or Syndrome,0.01,1,2019,2019,1,0,BEFREE
632,BGLAP,0.462,0.846,C0153690,Secondary malignant neoplasm of bone,disease,C23;C04;C05,Neoplastic Process,0.02,1,2000,2003,2,0,BEFREE
632,BGLAP,0.462,0.846,C0342635,Hungry bone syndrome,disease,C18;C05,Disease or Syndrome,0.01,1,2020,2020,1,0,BEFREE
632,BGLAP,0.462,0.846,C0410719,Deformity of bone,group,C05,Anatomical Abnormality,0.01,1,2018,2018,1,0,BEFREE
632,BGLAP,0.462,0.846,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.1,1,1990,2019,29,0,BEFREE
633,BGN,0.484,0.808,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.04,1,1997,2018,4,0,BEFREE
633,BGN,0.484,0.808,C1841684,Delayed ossification of carpal bones,phenotype,,Finding,0.1,NA,NA,NA,0,0,HPO
633,BGN,0.484,0.808,C1848103,Narrow pelvis bone,phenotype,,Finding,0.1,NA,NA,NA,0,0,HPO
633,BGN,0.484,0.808,C1854912,Short long bone,phenotype,,Finding,0.1,NA,NA,NA,0,0,HPO
633,BGN,0.484,0.808,C4025053,Broad long bone diaphyses,disease,,Anatomical Abnormality,0.1,NA,NA,NA,0,0,HPO
641,BLM,0.535,0.808,C0541764,Delayed bone age,phenotype,,Finding,0.1,NA,NA,NA,0,0,HPO
641,BLM,0.535,0.808,C4021242,Hypoplasia of the zygomatic bone,disease,,Anatomical Abnormality,0.1,NA,NA,NA,0,0,HPO
643,CXCR5,0.524,0.769,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.01,1,2019,2019,1,0,BEFREE
648,BMI1,0.448,0.808,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.08,1,2010,2018,8,0,BEFREE
649,BMP1,0.554,0.769,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.01,1,1996,1996,1,0,BEFREE
650,BMP2,0.432,0.846,C0027543,Avascular necrosis of bone,phenotype,C23;C05,Disease or Syndrome,0.01,1,2014,2014,1,0,BEFREE
650,BMP2,0.432,0.846,C0153690,Secondary malignant neoplasm of bone,disease,C23;C04;C05,Neoplastic Process,0.06,1,2009,2018,6,0,BEFREE
650,BMP2,0.432,0.846,C0231557,Abnormal bone formation,disease,C16;C05,Acquired Abnormality,0.01,1,2019,2019,1,0,BEFREE
650,BMP2,0.432,0.846,C0541764,Delayed bone age,phenotype,,Finding,0.1,NA,NA,NA,0,0,HPO
650,BMP2,0.432,0.846,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.1,1,1995,2019,21,4,BEFREE
651,BMP3,0.678,0.423,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.01,1,1995,1995,1,0,BEFREE
652,BMP4,0.422,0.808,C0027543,Avascular necrosis of bone,phenotype,C23;C05,Disease or Syndrome,0.01,1,2010,2010,1,0,BEFREE
652,BMP4,0.422,0.808,C0265509,Congenital anomaly of skeletal bone,group,C16;C13;C05,Congenital Abnormality,0.01,1,2007,2007,1,0,BEFREE
652,BMP4,0.422,0.808,C0585442,Osteosarcoma of bone,disease,C04,Neoplastic Process,0.02,1,1998,2014,2,0,BEFREE
